Plan ID,Production Date,Physical Area,Material / SKU Code,Material Description,Machine,Shift,Original Output (CS),Current Output (CS),Source,Status
PLN_SYNC_105,5/19/2026,SE,32136,CC_21_M LA +CAP,Promotion 5 Cap,2,5000,5000,SYNC,ACTIVE
PLN_SYNC_106,5/19/2026,SE,32135,CC_21_MDUONG +CAP,Promotion 5 Cap,2,5000,5000,SYNC,ACTIVE
PLN_SYNC_107,5/19/2026,SE,31377,CCDC_S Trang,Promotion 5 Cap,2,0,0,SYNC,ACTIVE
PLN_SYNC_108,5/19/2026,PKG,155814,K2+_S,Flowrap 02,3,11304,11304,SYNC,ACTIVE
PLN_SYNC_109,5/19/2026,PKG,61034595,CP_09_S,Flowrap 02,3,21600,21600,SYNC,ACTIVE
PLN_SYNC_110,5/19/2026,PKG,FVN50422,PC_22_M,HA0101,3,61272,61272,SYNC,ACTIVE
PLN_SYNC_111,5/19/2026,PKG,61049252,CC_21_M,HA0301,3,52056,52056,SYNC,ACTIVE
PLN_SYNC_112,5/19/2026,PKG,61040872,TWFH_25_M,HA0401,3,53208,53208,SYNC,ACTIVE
PLN_SYNC_113,5/19/2026,PKG,FVN00156,EC_22RPP_M,HA0501,3,38400,38400,SYNC,ACTIVE
PLN_SYNC_114,5/19/2026,PKG,FVN52149,EC_22RPP_M,HA0501,3,20880,20880,SYNC,ACTIVE
PLN_SYNC_115,5/19/2026,PKG,61014073,ZZGC_25_S,HA0601,3,33120,33120,SYNC,ACTIVE
PLN_SYNC_116,5/19/2026,PKG,61034593,CC_21_S,HA0601,3,73152,73152,SYNC,ACTIVE
PLN_SYNC_117,5/19/2026,PKG,61020081,PC_22_M,HA0801,3,49056,49056,SYNC,ACTIVE
PLN_SYNC_118,5/19/2026,PKG,61034581,PC_22_M,HA0901,3,118368,118368,SYNC,ACTIVE
PLN_SYNC_119,5/19/2026,PKG,61049253,EC_22RPP_S,HA1001,3,56880,56880,SYNC,ACTIVE
PLN_SYNC_120,5/19/2026,PKG,61055618,PC_22_M,HA1201,3,79200,79200,SYNC,ACTIVE
PLN_SYNC_121,5/19/2026,PKG,61009157,DA_22_M,HA1401,3,92304,92304,SYNC,ACTIVE
PLN_SYNC_122,5/19/2026,PKG,61020085,PC_22_M,HA1501,3,102960,102960,SYNC,ACTIVE
PLN_SYNC_123,5/19/2026,PKG,61036852,CC_21_M,HA1602,3,106128,106128,SYNC,ACTIVE
PLN_SYNC_124,5/19/2026,PKG,61046409,SF_24RPP_S,HA1701,3,91680,91680,SYNC,ACTIVE
PLN_SYNC_125,5/19/2026,PKG,1050459,CC_21,P1PR0004,3,75600,75600,SYNC,ACTIVE
PLN_SYNC_126,5/19/2026,PKG,1050461,CC_21,P1PR0004,3,37800,37800,SYNC,ACTIVE
PLN_SYNC_127,5/19/2026,PKG,61037839,PC_22,P1PR0004,3,37800,37800,SYNC,ACTIVE
